Variable / Field Name,Form Name,Auto extraction,concept_cd,concept_desc,concept_path,Checked by Simran,Checked by Alba
demo_na,demographics,N/A,,,,,
dob,demographics,Yes,,,,,
lt_1_admit,demographics,Yes,,,,,
premature,demographics,Yes,"ICD10:P07.20
 ICD10:P07.21
 ICD10:P07.22
 ICD10:P07.23
 ICD10:P07.24
 ICD10:P07.26
 ICD10:P07.25
 ICD10:P07.32
 ICD10:P07.30
 ICD10:P07.31
 ICD10:P07.33
 ICD10:P07.34
 ICD10:P07.35
 ICD10:P07.36
 ICD10:P07.37
 ICD10:P07.38
 ICD10:P07.39","ICD10:P07.20 Extreme immaturity of newborn, unspecified weeks of gestation
 ICD10:P07.21 Extreme immaturity of newborn, gestational age less than 23 completed weeks
 ICD10:P07.22 Extreme immaturity of newborn, gestational age 23 completed weeks
 ICD10:P07.23 Extreme immaturity of newborn, gestational age 24 completed weeks
 ICD10:P07.24 Extreme immaturity of newborn, gestational age 25 completed weeks
 ICD10:P07.26 Extreme immaturity of newborn, gestational age 27 completed weeks
 ICD10:P07.25 Extreme immaturity of newborn, gestational age 26 completed weeks
 ICD10:P07.32 Preterm newborn, gestational age 29 completed weeks
 ICD10:P07.30 Preterm newborn, unspecified weeks of gestation
 ICD10:P07.31 Preterm newborn, gestational age 28 completed weeks
 ICD10:P07.33 Preterm newborn, gestational age 30 completed weeks
 ICD10:P07.34 Preterm newborn, gestational age 31 completed weeks
 ICD10:P07.35 Preterm newborn, gestational age 32 completed weeks
 ICD10:P07.36 Preterm newborn, gestational age 33 completed weeks
 ICD10:P07.37 Preterm newborn, gestational age 34 completed weeks
 ICD10:P07.38 Preterm newborn, gestational age 35 completed weeks
 ICD10:P07.39 Preterm newborn, gestational age 36 completed weeks","\i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.2) Extrem~lr7o\(P07.20) Extre~uyjq\
 \i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.2) Extrem~lr7o\(P07.21) Extre~qwnq\
 \i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.2) Extrem~lr7o\(P07.22) Extre~7sf0\
 \i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.2) Extrem~lr7o\(P07.23) Extre~ueb6\
 \i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.2) Extrem~lr7o\(P07.24) Extre~jrue\
 \i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.2) Extrem~lr7o\(P07.26) Extre~2pqr\
 \i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.2) Extrem~lr7o\(P07.25) Extre~qv1j\
 \i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.3) Preter~65kl\(P07.32) Prete~py9n\
 \i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.3) Preter~65kl\(P07.30) Prete~9f04\
 \i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.3) Preter~65kl\(P07.31) Prete~otwh\
 \i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.3) Preter~65kl\(P07.33) Prete~4jn2\
 \i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.3) Preter~65kl\(P07.34) Prete~tztg\
 \i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.3) Preter~65kl\(P07.35) Prete~4p5f\
 \i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.3) Preter~65kl\(P07.36) Prete~inwg\
 \i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.3) Preter~65kl\(P07.37) Prete~mi61\
 \i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.3) Preter~65kl\(P07.38) Prete~0a3v\
 \i2b2\Diagnosis\10\(P00-P96) Cert~6976\(P05-P08) Diso~dyzv\(P07) Disorder~5nre\(P07.3) Preter~65kl\(P07.39) Prete~5a73\",,
wks_gest_birth,demographics,,,,,,
corrected_gest_age,demographics,,,,,,
ethnicity,demographics,Yes,,,,,
language,demographics,Yes,,,,,
langauge_other,demographics,Yes,,,,,
white,demographics,Yes,,,,,
black,demographics,Yes,,,,,
indian,demographics,Yes,,,,,
alaskan_native,demographics,Yes,,,,,
native_hawaiian,demographics,Yes,,,,,
pacific_islander,demographics,Yes,,,,,
asian,demographics,Yes,,,,,
race_other,demographics,Yes,,,,,
race_other_list,demographics,Yes,,,,,
race_refused_unknown,demographics,Yes,,,,,
country,demographics,Yes,,,,,
country_other,demographics,,,,,,
zipcodeus,demographics,Yes,,,,,
postalcode_canada,demographics,,,,,,
usstate,demographics,Yes,,,,,
canadaprovince,demographics,,,,,,
residence_other,demographics,,,,,,
county,demographics,Yes,,,,,
census,demographics,,,,,,
censusdt,demographics,,,,,,
censustract,demographics,,,,,,
censusblock,demographics,,,,,,
insurance,demographics,,,,,,
insurance_primary,demographics,,,,,,
other_studies,demographics,,,,,,
other_studies_list,demographics,,,,,,
other_studies_other,demographics,,,,,,
lab_values_na,laboratory_values,N/A,,,,,
lab_values_visit,laboratory_values,,,,,,
sars_cov2ntpcr_obtained,laboratory_values,Yes,LAB:1044704735,,,,
sars_cov2ntpcr_obtained,laboratory_values,Yes,LAB:1044804335,,,,
sars_cov2ntpcr_obtained,laboratory_values,Yes,LAB:1043473617,,,,
sars_cov2ntpcr_date,laboratory_values,Yes,LAB:1044704735,,,,
sars_cov2ntpcr_date,laboratory_values,Yes,LAB:1044804335,,,,
sars_cov2ntpcr_date,laboratory_values,Yes,LAB:1043473617,,,,
sars_cov2ntpcr_value,laboratory_values,Yes,LAB:1044704735,,,,
sars_cov2ntpcr_value,laboratory_values,Yes,LAB:1044804335,,,,
sars_cov2ntpcr_value,laboratory_values,Yes,LAB:1043473617,,,,
sars_cov2_antig_obtained,laboratory_values,Yes,,,,,
sars_cov2_antig_date,laboratory_values,Yes,,,,,
sars_cov2_antig_value,laboratory_values,Yes,,,,,
anti_sars_igm_obtained,laboratory_values,Yes,LAB:1055858187,,,,
anti_sars_igm_date,laboratory_values,Yes,LAB:1055858187,,,,
anti_sars_igm_value,laboratory_values,Yes,LAB:1055858187,,,,
anti_sars_igm_man,laboratory_values,Yes,LAB:1055858187,,,,
anti_sars_igg_obtained,laboratory_values,Yes,LAB:1055858179,,,,
anti_sars_igg_date,laboratory_values,Yes,LAB:1055858179,,,,
anti_sars_igg_value,laboratory_values,Yes,LAB:1055858179,,,,
anti_sars_igg_man,laboratory_values,,,,,,
total_anti_obtained,laboratory_values,,,,,,
total_anti_date,laboratory_values,,,,,,
total_anti_value,laboratory_values,,,,,,
total_anti_man,laboratory_values,,,,,,
wbc_obtained,laboratory_values,Yes,LAB:3775652,WBC,\i2b2\Lab View\Laboratory\Hematology\WBC\LAB:3775652\,,
wbc_date,laboratory_values,Yes,LAB:3775652,WBC,\i2b2\Lab View\Laboratory\Hematology\WBC\LAB:3775652\,,
wbc_value,laboratory_values,Yes,LAB:3775652,WBC,\i2b2\Lab View\Laboratory\Hematology\WBC\LAB:3775652\,,
