"CUI","LAT","SAB","TTY","LOINC CODE","LOINC DESCRIPTION","STY","eCRF TERM DESCRIPTION","LOINC WEBPAGE - EXTENDED DESCRIPTION","CLINICIAN REVIEW: DO THE DESCRIPTIONS MATCH?"
"C0800280","ENG","LNC","LN","17153-8","Cells.CD4+CD45RA+/Cells.CD8:NRto:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD4/CD8 ratio","https://loinc.org/17153-8/",""
"C0801312","ENG","LNC","LN","18266-7","Cells.CD3+CD4+/Cells.CD3+CD8+:NRto:Pt:Body fld:Qn","Clinical Attribute","Lymphocyte Subsets: CD4/CD8 ratio","https://loinc.org/18266-7/",""
"C0803412","ENG","LNC","LN","20607-8","Cells.CD3+CD4+/Cells.CD3+CD8+:NRto:Pt:XXX:Qn","Clinical Attribute","Lymphocyte Subsets: CD4/CD8 ratio","https://loinc.org/20607-8/",""
"C1148221","ENG","LNC","LN","32537-3","Cells.CD3+CD4+/Cells.CD3+CD8+:NRto:Pt:Bone mar:Qn","Clinical Attribute","Lymphocyte Subsets: CD4/CD8 ratio","https://loinc.org/32537-3/",""
"C1315227","ENG","LNC","LN","32756-9","Cells.CD3+CD4+/Cells.CD3+CD8+:NRto:Pt:Bronchial:Qn","Clinical Attribute","Lymphocyte Subsets: CD4/CD8 ratio","https://loinc.org/32756-9/",""
"C1544855","ENG","LNC","LN","40900-3","Cells.CD3+CD4+/Cells.CD3+CD8+:NRto:Pt:Tiss:Qn","Clinical Attribute","Lymphocyte Subsets: CD4/CD8 ratio","https://loinc.org/40900-3/",""
"C2706780","ENG","LNC","LN","54218-3","Cells.CD3+CD4+/Cells.CD3+CD8+:NRto:Pt:Bld:Qn","Clinical Attribute","Lymphocyte Subsets: CD4/CD8 ratio","https://loinc.org/54218-3/",""
"C0363885","ENG","LNC","LN","1751-7","Albumin:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Albumin (g/dL)","https://loinc.org/1751-7/",""
"C0365005","ENG","LNC","LN","2862-1","Albumin:MCnc:Pt:Ser/Plas:Qn:Electrophoresis","Clinical Attribute","Albumin (g/dL)","https://loinc.org/2862-1/",""
"C2707089","ENG","LNC","LN","54347-0","Albumin:SCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Albumin (g/dL)","https://loinc.org/54347-0/",""
"C2970598","ENG","LNC","LN","61151-7","Albumin:MCnc:Pt:Ser/Plas:Qn:BCG","Clinical Attribute","Albumin (g/dL)","https://loinc.org/61151-7/",""
"C2970599","ENG","LNC","LN","61152-5","Albumin:MCnc:Pt:Ser/Plas:Qn:BCP","Clinical Attribute","Albumin (g/dL)","https://loinc.org/61152-5/",""
"C2973156","ENG","LNC","LN","62234-0","Albumin:SCnc:Pt:Ser/Plas:Qn:BCP","Clinical Attribute","Albumin (g/dL)","https://loinc.org/62234-0/",""
"C2973157","ENG","LNC","LN","62235-7","Albumin:SCnc:Pt:Ser/Plas:Qn:BCG","Clinical Attribute","Albumin (g/dL)","https://loinc.org/62235-7/",""
"C4037597","ENG","LNC","LN","76631-1","Albumin:MCnc:Pt:Bld:Qn:BCP","Clinical Attribute","Albumin (g/dL)","https://loinc.org/76631-1/",""
"C1316991","ENG","LNC","LN","34529-8","PT & aPTT panel:-:Pt:PPP:Qn:Coag","Clinical Attribute","APTT or PTT (seconds)","https://loinc.org/34529-8/",""
"C1954777","ENG","LNC","LN","49045-8","PT & aPTT & Fibrinogen panel:-:Pt:PPP:Qn:Coag","Clinical Attribute","APTT or PTT (seconds)","https://loinc.org/49045-8/",""
"C1978035","ENG","LNC","LN","50197-3","aPTT panel:-:Pt:PPP:Qn","Clinical Attribute","APTT or PTT (seconds)","https://loinc.org/50197-3/",""
"C3869999","ENG","LNC","LN","76021-5","Delta aPTT:TimeDif:Pt:PPP:Qn:Coag","Clinical Attribute","APTT or PTT (seconds)","https://loinc.org/76021-5/",""
"C0364055","ENG","LNC","LN","1920-8","Aspartate aminotransferase:CCnc:Pt:Ser/Plas:Qn","Clinical Attribute","AST/SGOT (U/L)","https://loinc.org/1920-8/",""
"C1114117","ENG","LNC","LN","30239-8","Aspartate aminotransferase:CCnc:Pt:Ser/Plas:Qn:With P-5'-P","Clinical Attribute","AST/SGOT (U/L)","https://loinc.org/30239-8/",""
"C1716003","ENG","LNC","LN","44786-2","Aspartate aminotransferase:CCnc:Stdy^max:Ser/Plas:Qn","Clinical Attribute","AST/SGOT (U/L)","https://loinc.org/44786-2/",""
"C4533506","ENG","LNC","LN","88112-8","Aspartate aminotransferase:CCnc:Pt:Ser/Plas:Qn:No addition of P-5'-P","Clinical Attribute","AST/SGOT (U/L)","https://loinc.org/88112-8/",""
"C0363876","ENG","LNC","LN","1742-6","Alanine aminotransferase:CCnc:Pt:Ser/Plas:Qn","Clinical Attribute","ALT/SGPT (U/L)","https://loinc.org/1742-6/",""
"C0363877","ENG","LNC","LN","1743-4","Alanine aminotransferase:CCnc:Pt:Ser/Plas:Qn:With P-5'-P","Clinical Attribute","ALT/SGPT (U/L)","https://loinc.org/1743-4/",""
"C0363878","ENG","LNC","LN","1744-2","Alanine aminotransferase:CCnc:Pt:Ser/Plas:Qn:No addition of P-5'-P","Clinical Attribute","ALT/SGPT (U/L)","https://loinc.org/1744-2/",""
"C1716002","ENG","LNC","LN","44785-4","Alanine aminotransferase:CCnc:Stdy^max:Ser/Plas:Qn:No addition of P-5'-P","Clinical Attribute","ALT/SGPT (U/L)","https://loinc.org/44785-4/",""
"C4037603","ENG","LNC","LN","76625-3","Alanine aminotransferase:CCnc:Pt:Bld:Qn","Clinical Attribute","ALT/SGPT (U/L)","https://loinc.org/76625-3/",""
"C1114721","ENG","LNC","LN","30934-4","Natriuretic peptide.B:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","B-type natriuretic peptide (BNP) (pg/mL)","https://loinc.org/30934-4/",""
"C1316226","ENG","LNC","LN","33762-6","Natriuretic peptide.B prohormone N-Terminal:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","B-type natriuretic peptide (BNP) (pg/mL)","https://loinc.org/33762-6/",""
"C1316227","ENG","LNC","LN","33763-4","Natriuretic peptide.B prohormone N-Terminal:SCnc:Pt:Ser/Plas:Qn","Clinical Attribute","B-type natriuretic peptide (BNP) (pg/mL)","https://loinc.org/33763-4/",""
"C1642559","ENG","LNC","LN","42637-9","Natriuretic peptide.B:MCnc:Pt:Bld:Qn","Clinical Attribute","B-type natriuretic peptide (BNP) (pg/mL)","https://loinc.org/42637-9/",""
"C1831201","ENG","LNC","LN","47092-2","Natriuretic peptide.B:SCnc:Pt:Ser/Plas:Qn","Clinical Attribute","B-type natriuretic peptide (BNP) (pg/mL)","https://loinc.org/47092-2/",""
"C2603374","ENG","LNC","LN","35257-5","Natriuretic peptide.B:MSCnc:Pt:Ser/Plas:Qn","Clinical Attribute","B-type natriuretic peptide (BNP) (pg/mL)","https://loinc.org/35257-5/",""
"C3482453","ENG","LNC","LN","71425-3","Natriuretic peptide.B prohormone N-Terminal:MCnc:Pt:Bld:Qn:IA","Clinical Attribute","B-type natriuretic peptide (BNP) (pg/mL)","https://loinc.org/71425-3/",""
"C4298227","ENG","LNC","LN","83108-1","Natriuretic peptide.B prohormone N-Terminal:SCnc:Pt:Ser/Plas:Qn:IA","Clinical Attribute","B-type natriuretic peptide (BNP) (pg/mL)","https://loinc.org/83108-1/",""
"C4298228","ENG","LNC","LN","83107-3","Natriuretic peptide.B prohormone N-Terminal:MCnc:Pt:Ser/Plas:Qn:IA","Clinical Attribute","B-type natriuretic peptide (BNP) (pg/mL)","https://loinc.org/83107-3/",""
