ADMINMED:1048621881,NLM:RXNORM:2284718
ADMINMED:105198160,NLM:RXNORM:29899
ADMINMED:109447755,NLM:RXNORM:69036
ADMINMED:109816104,NLM:RXNORM:134547
ADMINMED:109816194,NLM:RXNORM:358274
ADMINMED:109816245,NLM:RXNORM:70589
ADMINMED:1152223039,RxDrug:2468235
ADMINMED:1152223461,RxDrug:2470234
ADMINMED:117066744,NLM:RXNORM:1599832
ADMINMED:122778241,NLM:RXNORM:733003
ADMINMED:129400909,NLM:RXNORM:1731071
ADMINMED:129561505,NLM:RXNORM:709271
ADMINMED:138865094,NLM:RXNORM:91601
ADMINMED:147154077,NLM:RXNORM:69634
ADMINMED:148245504,NLM:RXNORM:358257
ADMINMED:148245643,NLM:RXNORM:10759
ADMINMED:149798510,NLM:RXNORM:233698
ADMINMED:15599845,NLM:RXNORM:1815
ADMINMED:15611347,NLM:RXNORM:692620
ADMINMED:15611351,NLM:RXNORM:578033
ADMINMED:15611366,NLM:RXNORM:4885
ADMINMED:15611380,NLM:RXNORM:1311095
ADMINMED:15611387,NLM:RXNORM:5486
ADMINMED:15611396,NLM:RXNORM:115264
ADMINMED:15611404,NLM:RXNORM:644101
ADMINMED:15611407,NLM:RXNORM:5666
ADMINMED:15611410,NLM:RXNORM:139825
ADMINMED:15611431,NLM:RXNORM:5924
ADMINMED:15611431,NLM:RXNORM:602811
ADMINMED:15611438,NLM:RXNORM:342369
ADMINMED:15611442,NLM:RXNORM:10391
ADMINMED:15611442,NLM:RXNORM:6387
ADMINMED:15611446,NLM:RXNORM:614391
ADMINMED:15611449,NLM:RXNORM:1592257
ADMINMED:15611456,NLM:RXNORM:623033
ADMINMED:15611466,NLM:RXNORM:435
ADMINMED:15611481,NLM:RXNORM:1292422
ADMINMED:15611481,NLM:RXNORM:762817
ADMINMED:15611481,NLM:RXNORM:798372
ADMINMED:15611481,NLM:RXNORM:804179
ADMINMED:15611482,NLM:RXNORM:629565
ADMINMED:15611485,NLM:RXNORM:274403
ADMINMED:15611492,NLM:RXNORM:6387
ADMINMED:15611499,NLM:RXNORM:797629
ADMINMED:15611499,NLM:RXNORM:797631
ADMINMED:15611499,NLM:RXNORM:797633
ADMINMED:15611499,NLM:RXNORM:797635
ADMINMED:15611499,NLM:RXNORM:901505
ADMINMED:15611499,NLM:RXNORM:901507
ADMINMED:15611499,NLM:RXNORM:901509
ADMINMED:15611499,NLM:RXNORM:901511
ADMINMED:15611500,NLM:RXNORM:641
ADMINMED:15611504,NLM:RXNORM:29561
ADMINMED:15611509,NLM:RXNORM:732
ADMINMED:15611513,NLM:RXNORM:341018
ADMINMED:15611524,NLM:RXNORM:325887
ADMINMED:15611530,NLM:RXNORM:108118
ADMINMED:15611539,NLM:RXNORM:274771
ADMINMED:15611543,NLM:RXNORM:7299
ADMINMED:15611562,NLM:RXNORM:8091
ADMINMED:15611567,NLM:RXNORM:4917
ADMINMED:15611577,NLM:RXNORM:1272
ADMINMED:15611598,NLM:RXNORM:1596
ADMINMED:15611598,NLM:RXNORM:52356
ADMINMED:15611627,NLM:RXNORM:2191
ADMINMED:15611630,NLM:RXNORM:10391
ADMINMED:15611630,NLM:RXNORM:1399
ADMINMED:15611630,NLM:RXNORM:19861
ADMINMED:15611655,NLM:RXNORM:44151
ADMINMED:15611664,NLM:RXNORM:2708
ADMINMED:15611667,NLM:RXNORM:302285
ADMINMED:15611677,NLM:RXNORM:3108
ADMINMED:15611693,NLM:RXNORM:214468
ADMINMED:15611699,NLM:RXNORM:15657
ADMINMED:15611701,NLM:RXNORM:614373
ADMINMED:15611709,NLM:RXNORM:1311089
ADMINMED:15611757,NLM:RXNORM:306266
ADMINMED:15611761,NLM:RXNORM:337525
ADMINMED:15611771,NLM:RXNORM:461016
ADMINMED:15612378,NLM:RXNORM:187832
ADMINMED:15612494,NLM:RXNORM:798286
ADMINMED:15612494,NLM:RXNORM:798288
ADMINMED:15612494,NLM:RXNORM:798290
ADMINMED:15612494,NLM:RXNORM:798292
ADMINMED:15612494,NLM:RXNORM:798294
ADMINMED:15612498,NLM:RXNORM:236782
ADMINMED:15612521,NLM:RXNORM:70589
ADMINMED:15612521,NLM:RXNORM:70619
ADMINMED:15612562,NLM:RXNORM:495881
ADMINMED:15612606,NLM:RXNORM:10159
ADMINMED:15612614,NLM:RXNORM:357977
ADMINMED:15612618,NLM:RXNORM:10391
ADMINMED:15612618,NLM:RXNORM:6387
ADMINMED:15612635,NLM:RXNORM:69120
ADMINMED:15612643,NLM:RXNORM:190548
ADMINMED:15612647,NLM:RXNORM:10627
ADMINMED:15612657,NLM:RXNORM:10627
ADMINMED:15612660,NLM:RXNORM:10627
ADMINMED:15612666,NLM:RXNORM:10759
ADMINMED:15612669,NLM:RXNORM:465118
ADMINMED:15612669,NLM:RXNORM:867357
ADMINMED:15612670,NLM:RXNORM:10878
ADMINMED:15612681,NLM:RXNORM:597392
ADMINMED:15612687,NLM:RXNORM:11124
ADMINMED:15612689,NLM:RXNORM:11124
ADMINMED:15612689,NLM:RXNORM:8536
ADMINMED:15612691,NLM:RXNORM:591622
ADMINMED:15612697,NLM:RXNORM:11251
ADMINMED:15612703,NLM:RXNORM:56946
ADMINMED:15612709,NLM:RXNORM:196319
ADMINMED:15612712,NLM:RXNORM:235379
ADMINMED:15612865,NLM:RXNORM:19831
ADMINMED:15612865,NLM:RXNORM:25255
ADMINMED:15612874,NLM:RXNORM:2358
ADMINMED:15612882,NLM:RXNORM:42612
ADMINMED:15612892,NLM:RXNORM:460132
ADMINMED:15612896,NLM:RXNORM:475342
ADMINMED:15612898,NLM:RXNORM:11423
ADMINMED:15612906,NLM:RXNORM:195085
ADMINMED:15612906,NLM:RXNORM:276237
ADMINMED:15612906,NLM:RXNORM:300195
ADMINMED:15612908,NLM:RXNORM:1815
ADMINMED:15612915,NLM:RXNORM:20859
ADMINMED:15612919,NLM:RXNORM:106212
ADMINMED:15612919,NLM:RXNORM:11246
ADMINMED:15612919,NLM:RXNORM:11256
ADMINMED:15612919,NLM:RXNORM:11423
ADMINMED:15612919,NLM:RXNORM:324072
ADMINMED:15612919,NLM:RXNORM:6227
ADMINMED:15612919,NLM:RXNORM:6750
ADMINMED:15612919,NLM:RXNORM:8091
ADMINMED:15612925,NLM:RXNORM:25138
ADMINMED:15613004,NLM:RXNORM:66887
ADMINMED:15613007,NLM:RXNORM:595060
ADMINMED:15613028,NLM:RXNORM:70589
ADMINMED:15613028,NLM:RXNORM:70619
ADMINMED:15613032,NLM:RXNORM:1399
ADMINMED:15613032,NLM:RXNORM:38685
ADMINMED:15613035,NLM:RXNORM:8091
ADMINMED:15613037,NLM:RXNORM:194337
ADMINMED:15613040,NLM:RXNORM:11416
ADMINMED:15613040,NLM:RXNORM:4716
ADMINMED:156839251,NLM:RXNORM:864701
ADMINMED:156839255,NLM:RXNORM:864701
ADMINMED:16302555,NLM:RXNORM:10391
ADMINMED:16302555,NLM:RXNORM:6387
ADMINMED:164477567,NLM:RXNORM:734064
ADMINMED:164477589,NLM:RXNORM:119771
ADMINMED:164477595,NLM:RXNORM:763096
ADMINMED:164477595,NLM:RXNORM:763098
ADMINMED:164477595,NLM:RXNORM:763100
ADMINMED:164477595,NLM:RXNORM:798302
ADMINMED:164477595,NLM:RXNORM:798304
ADMINMED:164477595,NLM:RXNORM:798306
ADMINMED:164477598,NLM:RXNORM:798302
ADMINMED:164477598,NLM:RXNORM:798304
ADMINMED:164477598,NLM:RXNORM:798306
ADMINMED:164477604,NLM:RXNORM:544488
ADMINMED:164477607,NLM:RXNORM:100213
ADMINMED:164477613,NLM:RXNORM:711942
ADMINMED:164477616,NLM:RXNORM:475969
ADMINMED:164477619,NLM:RXNORM:23043
ADMINMED:164477628,NLM:RXNORM:802624
ADMINMED:164477661,NLM:RXNORM:1310578
ADMINMED:164477679,NLM:RXNORM:657797
ADMINMED:164477682,NLM:RXNORM:640062
ADMINMED:164477691,NLM:RXNORM:830464
ADMINMED:164477720,NLM:RXNORM:662281
ADMINMED:164477730,NLM:RXNORM:8834
ADMINMED:164477748,NLM:RXNORM:18343
ADMINMED:164477748,NLM:RXNORM:847728
ADMINMED:164477784,NLM:RXNORM:141704
ADMINMED:164477811,NLM:RXNORM:623400
ADMINMED:164477814,NLM:RXNORM:819300
ADMINMED:164477830,NLM:RXNORM:473387
ADMINMED:164477833,NLM:RXNORM:845525
ADMINMED:164477842,NLM:RXNORM:480167
ADMINMED:164477854,NLM:RXNORM:591781
ADMINMED:16568898,NLM:RXNORM:2180
ADMINMED:16568899,NLM:RXNORM:5224
ADMINMED:16727468,NLM:RXNORM:1272
ADMINMED:16727469,NLM:RXNORM:20481
ADMINMED:16727470,NLM:RXNORM:2191
ADMINMED:16727471,NLM:RXNORM:5690
ADMINMED:16727472,NLM:RXNORM:29561
ADMINMED:16727473,NLM:RXNORM:37617
ADMINMED:16727473,NLM:RXNORM:8339
ADMINMED:17348967,NLM:RXNORM:2854
ADMINMED:17348968,NLM:RXNORM:33290
ADMINMED:17348969,NLM:RXNORM:29561
ADMINMED:17348969,NLM:RXNORM:4556
ADMINMED:17348970,NLM:RXNORM:11124
ADMINMED:17348970,NLM:RXNORM:4556
ADMINMED:17348971,NLM:RXNORM:4419
ADMINMED:17348972,NLM:RXNORM:1292
ADMINMED:177596825,NLM:RXNORM:853491
ADMINMED:18467967,NLM:RXNORM:657797
ADMINMED:18467969,NLM:RXNORM:10180
ADMINMED:18467969,NLM:RXNORM:10829
ADMINMED:18467970,NLM:RXNORM:10627
ADMINMED:18467971,NLM:RXNORM:3992
ADMINMED:190848555,NLM:RXNORM:784649
ADMINMED:194202607,NLM:RXNORM:10390
ADMINMED:194202610,NLM:RXNORM:318341
ADMINMED:194202643,NLM:RXNORM:712566
ADMINMED:194202646,NLM:RXNORM:714438
ADMINMED:194202655,NLM:RXNORM:847083
ADMINMED:199347052,NLM:RXNORM:798220
ADMINMED:199347052,NLM:RXNORM:798222
ADMINMED:199347052,NLM:RXNORM:798224
ADMINMED:199347052,NLM:RXNORM:798226
ADMINMED:199347052,NLM:RXNORM:798228
ADMINMED:199347052,NLM:RXNORM:798230
ADMINMED:199347052,NLM:RXNORM:798232
ADMINMED:199347052,NLM:RXNORM:901620
ADMINMED:199347052,NLM:RXNORM:901624
ADMINMED:199347052,NLM:RXNORM:901628
ADMINMED:199347052,NLM:RXNORM:901631
ADMINMED:199347052,NLM:RXNORM:901633
ADMINMED:199347052,NLM:RXNORM:901636
ADMINMED:202592829,NLM:RXNORM:612865
ADMINMED:202592832,NLM:RXNORM:4179
ADMINMED:209138324,NLM:RXNORM:864701
ADMINMED:209138354,NLM:RXNORM:1364290
ADMINMED:209138360,NLM:RXNORM:475968
ADMINMED:209483664,NLM:RXNORM:14851
ADMINMED:212159316,NLM:RXNORM:763096
ADMINMED:212159316,NLM:RXNORM:763098
ADMINMED:212159316,NLM:RXNORM:763100
ADMINMED:212159316,NLM:RXNORM:798279
ADMINMED:212159316,NLM:RXNORM:798302
ADMINMED:212159316,NLM:RXNORM:798304
ADMINMED:212159316,NLM:RXNORM:798306
ADMINMED:212159319,NLM:RXNORM:5224
ADMINMED:212159322,NLM:RXNORM:798302
ADMINMED:212159322,NLM:RXNORM:798304
ADMINMED:212159322,NLM:RXNORM:798306
ADMINMED:215570879,NLM:RXNORM:864701
ADMINMED:22652863,NLM:RXNORM:8834
ADMINMED:22652864,NLM:RXNORM:281
ADMINMED:22652865,NLM:RXNORM:6387
ADMINMED:231544217,NLM:RXNORM:1712
ADMINMED:231544220,NLM:RXNORM:107044
ADMINMED:231544226,NLM:RXNORM:2837
ADMINMED:231544229,NLM:RXNORM:993449
ADMINMED:231544241,NLM:RXNORM:797752
ADMINMED:231544244,NLM:RXNORM:797752
ADMINMED:231544247,NLM:RXNORM:91601
ADMINMED:231544253,NLM:RXNORM:1712
ADMINMED:231544259,NLM:RXNORM:66887
ADMINMED:231544270,NLM:RXNORM:901805
ADMINMED:233446186,NLM:RXNORM:1425933
ADMINMED:233456130,NLM:RXNORM:11416
ADMINMED:233456130,NLM:RXNORM:8375
ADMINMED:236681828,NLM:RXNORM:996051
ADMINMED:236681840,NLM:RXNORM:108118
ADMINMED:236681840,NLM:RXNORM:25255
ADMINMED:244287836,NLM:RXNORM:1716278
