Variable...Field.Name,Form.Name,Auto.extraction,concept_cd,expected value,expected value description,Notes,concept_desc,concept_path,Checked.by.Simran,Checked.by.Alba
current_meds_fu_na,medications_before_and_after_hosp,N/A,,,,NA,,,NA,NA
medcur1_type,medications_before_and_after_hosp,Yes,,,,"Please use this form for any medication taken before or after the hospitalization for MIS-C.  Do not enter medications that were taken only during MIS-C hospitalization; please utilize the Day 1 ""Additional Medications During Hosp"" form for those.<br>Enter any medication, and non-medical therapy directed at cytokine clearance, that the participant is currently receiving or has been on at some point since the last visit. Please reference the study Medication Code Sheet. Enter 1 medication or therapy on each form, and add additional forms as needed. If this is the Week 2 - Month 6 Follow-Up visit, please exclude aspirin.",,,NA,NA
medcur1_code_arc,medications_before_and_after_hosp,Yes,ADMINMED:???????,01.00,"Not specified, Angiotensin Receptor Blockers",Couldn't find code for this!,,,,
medcur1_code_arc,medications_before_and_after_hosp,Yes,ADMINMED:2797702,01.01,"Eprosartan, Trade name: Teveten, Angiotensin Receptor Blockers",,eprosartan,\i2b2\Medications\Administered Medications\40\56\d04266\ADMINMED:2797702\,,
medcur1_code_arc,medications_before_and_after_hosp,Yes,ADMINMED:2798145,01.02,"Losartan, Trade name: Cozaar, Angiotensin Receptor Blockers",,losartan,\i2b2\Medications\Administered Medications\40\56\d03821\ADMINMED:2798145\,,
medcur1_code_arc,medications_before_and_after_hosp,Yes,ADMINMED:2798879,01.03,"Valsartan, Trade name: Diovan, Angiotensin Receptor Blockers",,valsartan,\i2b2\Medications\Administered Medications\40\56\d04113\ADMINMED:2798879\,,
medcur1_code_arc,medications_before_and_after_hosp,Yes,ADMINMED:307938266,01.99,"Other angiotensin receptor blockers, Angiotensin Receptor Blockers",,azilsartan,\i2b2\Medications\Administered Medications\40\56\d07754\ADMINMED:307938266\,,
medcur1_code_arc,medications_before_and_after_hosp,Yes,ADMINMED:2797176,01.99,"Other angiotensin receptor blockers, Angiotensin Receptor Blockers",,candesartan,\i2b2\Medications\Administered Medications\40\56\d04322\ADMINMED:2797176\,,
medcur1_code_arc,medications_before_and_after_hosp,Yes,ADMINMED:2798047,01.99,"Other angiotensin receptor blockers, Angiotensin Receptor Blockers",,irbesartan,\i2b2\Medications\Administered Medications\40\56\d04222\ADMINMED:2798047\,,
medcur1_code_arc,medications_before_and_after_hosp,Yes,ADMINMED:2798369,01.99,"Other angiotensin receptor blockers, Angiotensin Receptor Blockers",,olmesartan,\i2b2\Medications\Administered Medications\40\56\d04801\ADMINMED:2798369\,,
medcur1_code_arc,medications_before_and_after_hosp,Yes,ADMINMED:2798751,01.99,"Other angiotensin receptor blockers, Angiotensin Receptor Blockers",,telmisartan,\i2b2\Medications\Administered Medications\40\56\d04364\ADMINMED:2798751\,,
medcur1_code_antiarr,medications_before_and_after_hosp,Yes,ADMINMED:??????,02.00,"Not specified, Antiarrhythmic",Couldn't find code for this!,,,,
medcur1_code_antiarr,medications_before_and_after_hosp,Yes,ADMINMED:2797316,02.01,"Adenosine, Trade name: Adenocard, Antiarrhythmic",,adenosine,\i2b2\Medications\Administered Medications\40\46\389\d00164\ADMINMED:2797316\,,
medcur1_code_antiarr,medications_before_and_after_hosp,Yes,ADMINMED:2797367,02.02,"Amiodarone, Trade name: Cordarone, Antiarrhythmic",,amiodarone,\i2b2\Medications\Administered Medications\40\46\387\d00002\ADMINMED:2797367\,,
medcur1_code_antiarr,medications_before_and_after_hosp,Yes,ADMINMED:????,02.03,"Azimilide, Antiarrhythmic",Couldn't find code for this!,,,,
medcur1_code_antiarr,medications_before_and_after_hosp,Yes,ADMINMED:2797115,02.04,"Bretylium, Antiarrhythmic",,zzzbretylium,\i2b2\Medications\Administered Medications\40\46\387\d00005\ADMINMED:2797115\,,
medcur1_code_antiarr,medications_before_and_after_hosp,Yes,ADMINMED:??????,02.05,"Cibenzoline, Antiarrhythmic",Couldn't find code for this!,,,,
medcur1_code_antiarr,medications_before_and_after_hosp,Yes,ADMINMED:2797631,02.06,"Disopyramide, Trade name: Norpace, Antiarrhythmic",,disopyramide,\i2b2\Medications\Administered Medications\40\46\385\d00214\ADMINMED:2797631\,,
medcur1_code_antiarr,medications_before_and_after_hosp,Yes,ADMINMED:??????,02.07,"Encainide, Trade name: Enkaid, Antiarrhythmic",Couldn't find code for this there is AG:8522568 but not sure!,,,,
medcur1_code_antiarr,medications_before_and_after_hosp,Yes,ADMINMED:2797789,02.08,"Flecainide, Trade name: Tambocor, Antiarrhythmic",,flecainide,\i2b2\Medications\Administered Medications\40\46\385\d00234\ADMINMED:2797789\,,
medcur1_code_antiarr,medications_before_and_after_hosp,Yes,ADMINMED:4103284,02.09,"Lidocaine, Trade name: Xylocaine, Antiarrhythmic",,lidocaine,\i2b2\Medications\Administered Medications\105\109\d00059\ADMINMED:4103284\,,
medcur1_code_antiarr,medications_before_and_after_hosp,Yes,ADMINMED:2798252,02.10,"Mexiletine, Trade name: Mexitil, Antiarrhythmic",,mexiletine,\i2b2\Medications\Administered Medications\40\46\385\d00300\ADMINMED:2798252\,,
medcur1_code_antiarr,medications_before_and_after_hosp,Yes,ADMINMED:2798280,02.11,"Moricizine, Trade name: Ethmozine, Antiarrhythmic",,zzzmoricizine,\i2b2\Medications\Administered Medications\40\46\385\d00307\ADMINMED:2798280\,,
medcur1_code_antiarr,medications_before_and_after_hosp,Yes,ADMINMED:4103291,02.12,"Phenytoin, Trade name: Dilantin, Antiarrhythmic",,mephenytoin,\i2b2\Medications\Administered Medications\Non-Categorized\4103291\ADMINMED:4103291\,,
medcur1_code_antiarr,medications_before_and_after_hosp,Yes,ADMINMED:2798546,02.13,"Procainamide, Trade names: Pronestyl, Procan, Antiarrhythmic",,procainamide,\i2b2\Medications\Administered Medications\40\46\385\d00075\ADMINMED:2798546\,,
medcur1_code_antiarr,medications_before_and_after_hosp,Yes,ADMINMED:2798555,02.14,"Propafenone, Trade name: Rythmol, Antiarrhythmic",,propafenone,\i2b2\Medications\Administered Medications\40\46\385\d00358\ADMINMED:2798555\,,
medcur1_code_antiarr,medications_before_and_after_hosp,Yes,ADMINMED:2798586,02.15,"Quinidine, Trade name: Quinaglute, Antiarrhythmic",,quiNIDine,\i2b2\Medications\Administered Medications\40\46\385\d00020\ADMINMED:2798586\,,
medcur1_code_antiarr,medications_before_and_after_hosp,Yes,ADMINMED:2798804,02.16,"Tocainide, Trade name: Tonocard, Antiarrhythmic",,zzztocainide,\i2b2\Medications\Administered Medications\40\46\385\d00392\ADMINMED:2798804\,,
medcur1_code_antiarr,medications_before_and_after_hosp,Yes,ADMINMED:2798708,02.99,"Other antiarrhythmic agents, Antiarrhythmic",,sotalol,\i2b2\Medications\Administered Medications\40\46\387\d00371\ADMINMED:2798708\,,
medcur1_code_antiarr,medications_before_and_after_hosp,Yes,ADMINMED:2798247,02.99,"Other antiarrhythmic agents, Antiarrhythmic",,metoprolol,\i2b2\Medications\Administered Medications\40\47\274\d00134\ADMINMED:2798247\,,
medcur1_code_antiarr,medications_before_and_after_hosp,Yes,ADMINMED:2798886,02.99,"Other antiarrhythmic agents, Antiarrhythmic",,verapamil,\i2b2\Medications\Administered Medications\40\48\d00048\ADMINMED:2798886\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:???????,03.00,"Not specified, Antibiotics",Couldn't find code for this!,,,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2798736,03.01,"Acetyl Sulfisozaxole, Trade name: Gantrisin, Antibiotics",,sulfiSOXAZOLE,\i2b2\Medications\Administered Medications\1\15\d00120\ADMINMED:2798736\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797356,03.02,"Amikacin, Trade name: Amikin, Antibiotics",,amikacin,\i2b2\Medications\Administered Medications\1\18\d00087\ADMINMED:2797356\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:15611500,03.02,"Amikacin, Trade name: Amikin, Antibiotics",,amikacin inhalation,\i2b2\Medications\Administered Medications\Non-Categorized\15611500\ADMINMED:15611500\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2796908,03.03,"Ampicillin-Sulbactam, Trade name: Unasyn, Antibiotics",,ampicillin-sulbactam,\i2b2\Medications\Administered Medications\1\13\225\d00090\ADMINMED:2796908\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2796897,03.04,"Amoxicillin, Trade name: Amoxil, Antibiotics",,amoxicillin,\i2b2\Medications\Administered Medications\1\13\224\d00088\ADMINMED:2796897\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2796899,03.05,"Amoxicillin-Clavulanic Acid, Trade name: Augmentin, Antibiotics",,amoxicillin-clavulanate,\i2b2\Medications\Administered Medications\1\13\225\d00089\ADMINMED:2796899\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2796902,03.06,"Amphotericin b, Trade name: Fungizone, Antibiotics",,amphotericin B,\i2b2\Medications\Administered Medications\1\4\235\d00077\ADMINMED:2796902\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:15611509,03.06,"Amphotericin b, Trade name: Fungizone, Antibiotics",,amphotericin B inhalation,\i2b2\Medications\Administered Medications\Non-Categorized\15611509\ADMINMED:15611509\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2796903,03.06,"Amphotericin b, Trade name: Fungizone, Antibiotics",,amphotericin B cholesteryl sulfate,\i2b2\Medications\Administered Medications\1\4\235\d04100\ADMINMED:2796903\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2796904,03.06,"Amphotericin b, Trade name: Fungizone, Antibiotics",,amphotericin B lipid complex,\i2b2\Medications\Administered Medications\1\4\235\d03870\ADMINMED:2796904\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2796905,03.06,"Amphotericin b, Trade name: Fungizone, Antibiotics",,amphotericin B liposomal,\i2b2\Medications\Administered Medications\1\4\235\d04238\ADMINMED:2796905\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2796907,03.07,"Ampicillin, Trade name: Omnipen, Antibiotics",,ampicillin,\i2b2\Medications\Administered Medications\1\13\224\d00003\ADMINMED:2796907\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797013,03.08,"Azithromycin, Trade name: Zithromax, Antibiotics",,azithromycin,\i2b2\Medications\Administered Medications\1\11\304\d00091\ADMINMED:2797013\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:109816120,03.08,"Azithromycin, Trade name: Zithromax, Antibiotics",,azithromycin ophthalmic,\i2b2\Medications\Administered Medications\133\147\163\d06851\ADMINMED:109816120\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797014,03.09,"Aztreonam, Trade name: Azactam, Antibiotics",,aztreonam,\i2b2\Medications\Administered Medications\1\12\d00067\ADMINMED:2797014\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:15611577,03.09,"Aztreonam, Trade name: Azactam, Antibiotics",,aztreonam inhalation,\i2b2\Medications\Administered Medications\Non-Categorized\15611577\ADMINMED:15611577\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:16727468,03.09,"Aztreonam, Trade name: Azactam, Antibiotics",,aztreonam DESENSITIZATION,\i2b2\Medications\Administered Medications\Non-Categorized\16727468\ADMINMED:16727468\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797189,03.10,"Carbenicillin, Trade name: Geocillin, Antibiotics",,zzzcarbenicillin,\i2b2\Medications\Administered Medications\1\13\223\d00092\ADMINMED:2797189\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797220,03.11,"Cefazolin, Trade names: Ancef, Kefzol, Antibiotics",,ceFAZolin,\i2b2\Medications\Administered Medications\1\9\159\d00007\ADMINMED:2797220\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:16568898,03.11,"Cefazolin, Trade names: Ancef, Kefzol, Antibiotics",,cefazolin irrigation,\i2b2\Medications\Administered Medications\Non-Categorized\16568898\ADMINMED:16568898\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:493516627,03.11,"Cefazolin, Trade names: Ancef, Kefzol, Antibiotics",,cefazolin/placebo,\i2b2\Medications\Administered Medications\Non-Categorized\493516627\ADMINMED:493516627\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797223,03.12,"Cefepime, Trade name: Maxipime, Antibiotics",,cefepime,\i2b2\Medications\Administered Medications\1\9\162\d03882\ADMINMED:2797223\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:16727469,03.12,"Cefepime, Trade name: Maxipime, Antibiotics",,cefepime DESENSITIZATION,\i2b2\Medications\Administered Medications\Non-Categorized\16727469\ADMINMED:16727469\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797224,03.13,"Cefotaxime, Trade name: Claforan, Antibiotics",,cefotaxime,\i2b2\Medications\Administered Medications\1\9\161\d00008\ADMINMED:2797224\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797229,03.14,"Ceftazidime, Trade name: Fortaz, Antibiotics",,cefTAZidime,\i2b2\Medications\Administered Medications\1\9\161\d00009\ADMINMED:2797229\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:16727470,03.14,"Ceftazidime, Trade name: Fortaz, Antibiotics",,ceftazidime DESENSITIZATION,\i2b2\Medications\Administered Medications\Non-Categorized\16727470\ADMINMED:16727470\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:15611627,03.14,"Ceftazidime, Trade name: Fortaz, Antibiotics",,ceftazidime inhalation,\i2b2\Medications\Administered Medications\Non-Categorized\15611627\ADMINMED:15611627\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797232,03.15,"Ceftriaxone, Trade name: Rocephin, Antibiotics",,cefTRIAXone,\i2b2\Medications\Administered Medications\1\9\161\d00052\ADMINMED:2797232\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797238,03.16,"Cephalexin, Trade name: Keflex, Antibiotics",,cephalexin,\i2b2\Medications\Administered Medications\1\9\159\d00096\ADMINMED:2797238\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797420,03.17,"Ciprofloxacin, Trade name: Cipro, Antibiotics",,ciprofloxacin,\i2b2\Medications\Administered Medications\1\14\d00011\ADMINMED:2797420\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797422,03.17,"Ciprofloxacin, Trade name: Cipro, Antibiotics",,ciprofloxacin otic,\i2b2\Medications\Administered Medications\133\148\170\d04287\ADMINMED:2797422\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797421,03.17,"Ciprofloxacin, Trade name: Cipro, Antibiotics",,ciprofloxacin ophthalmic,\i2b2\Medications\Administered Medications\133\147\163\d03211\ADMINMED:2797421\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797434,03.18,"Clarithromycin, Trade name: Biaxin, Antibiotics",,clarithromycin,\i2b2\Medications\Administered Medications\1\11\304\d00097\ADMINMED:2797434\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797437,03.19,"Clindamycin, Trade name: Cleocin, Antibiotics",,clindamycin,\i2b2\Medications\Administered Medications\1\240\d00043\ADMINMED:2797437\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797438,03.19,"Clindamycin, Trade name: Cleocin, Antibiotics",,clindamycin topical,\i2b2\Medications\Administered Medications\133\136\143\d01241\ADMINMED:2797438\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2798804,03.20,"Erythromycin, Antibiotics",,zzztocainide,\i2b2\Medications\Administered Medications\40\46\385\d00392\ADMINMED:2798804\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797711,03.20,"Erythromycin, Antibiotics",,erythromycin ophthalmic,\i2b2\Medications\Administered Medications\133\147\163\d03973\ADMINMED:2797711\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797712,03.20,"Erythromycin, Antibiotics",,erythromycin topical,\i2b2\Medications\Administered Medications\133\136\143\d03200\ADMINMED:2797712\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797713,03.21,"Erythromycin and Sulfisoxazole, Trade name: Pediazole, Antibiotics",,erythromycin-sulfiSOXAZOLE,\i2b2\Medications\Administered Medications\1\12\d03509\ADMINMED:2797713\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797791,03.22,"Fluconazole, Trade name: Diflucan, Antibiotics",,fluconazole,\i2b2\Medications\Administered Medications\1\4\236\d00071\ADMINMED:2797791\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797860,03.23,"Gentamicin, Antibiotics",,gentamicin,\i2b2\Medications\Administered Medications\1\18\d00014\ADMINMED:2797860\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797861,03.23,"Gentamicin, Antibiotics",,gentamicin ophthalmic,\i2b2\Medications\Administered Medications\133\147\163\d03974\ADMINMED:2797861\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797862,03.23,"Gentamicin, Antibiotics",,gentamicin topical,\i2b2\Medications\Administered Medications\133\136\290\d03196\ADMINMED:2797862\,,
medcur1_code_ab,medications_before_and_after_hosp,Yes,ADMINMED:2797710,03.24,"Erythromycin (Ilotycin), Antibiotics",,erythromycin,\i2b2\Medications\Administered Medications\1\11\304\d00046\ADMINMED:2797710\,,
